fecha,bronco
2017-09-01,0
2017-09-02,4
2017-09-03,1
2017-09-04,1
2017-09-05,4
2017-09-06,3
2017-09-07,3
2017-09-08,1
2017-09-09,2
2017-09-10,0
2017-09-11,2
2017-09-12,0
2017-09-13,1
2017-09-14,3
2017-09-15,1
2017-09-16,3
2017-09-17,1
2017-09-18,0
2017-09-19,1
2017-09-20,2
2017-09-21,1
2017-09-22,0
2017-09-23,2
2017-09-24,1
2017-09-25,1
2017-09-26,0
2017-09-27,0
2017-09-28,2
2017-09-29,1
2017-09-30,2
2017-10-01,0
2017-10-02,2
2017-10-03,1
2017-10-04,8
2017-10-05,3
2017-10-06,4
2017-10-07,1
2017-10-08,2
2017-10-09,4
2017-10-10,7
2017-10-11,1
2017-10-12,0
2017-10-13,1
2017-10-14,1
2017-10-15,0
2017-10-16,3
2017-10-17,2
2017-10-18,3
2017-10-19,1
2017-10-20,1
2017-10-21,1
2017-10-22,0
2017-10-23,0
2017-10-24,1
2017-10-25,4
2017-10-26,1
2017-10-27,1
2017-10-28,1
2017-10-29,2
2017-10-30,1
2017-10-31,2
2017-11-01,3
2017-11-02,0
2017-11-03,2
2017-11-04,1
2017-11-05,1
2017-11-06,0
2017-11-07,2
2017-11-08,1
2017-11-09,4
2017-11-10,6
2017-11-11,1
2017-11-12,4
2017-11-13,1
2017-11-14,2
2017-11-15,0
2017-11-16,2
2017-11-17,4
2017-11-18,1
2017-11-19,1
2017-11-20,0
2017-11-21,3
2017-11-22,0
2017-11-23,1
2017-11-24,1
2017-11-25,0
2017-11-26,1
2017-11-27,2
2017-11-28,5
2017-11-29,4
2017-11-30,1
2017-12-01,2
2017-12-02,0
2017-12-03,0
2017-12-04,4
2017-12-05,5
2017-12-06,5
2017-12-07,6
2017-12-08,1
2017-12-09,6
2017-12-10,4
2017-12-11,0
2017-12-12,2
2017-12-13,7
2017-12-14,5
2017-12-15,3
2017-12-16,1
2017-12-17,0
2017-12-18,4
2017-12-19,2
2017-12-20,3
2017-12-21,0
2017-12-22,3
2017-12-23,0
2017-12-24,1
2017-12-25,0
2017-12-26,4
2017-12-27,2
2017-12-28,2
2017-12-29,0
2017-12-30,1
2017-12-31,0
2018-01-01,3
2018-01-02,3
2018-01-03,2
2018-01-04,1
2018-01-05,2
2018-01-06,4
2018-01-07,1
2018-01-08,0
2018-01-09,6
2018-01-10,2
2018-01-11,4
2018-01-12,6
2018-01-13,1
2018-01-14,5
2018-01-15,6
2018-01-16,5
2018-01-17,5
2018-01-18,3
2018-01-19,2
2018-01-20,6
2018-01-21,4
2018-01-22,5
2018-01-23,2
2018-01-24,8
2018-01-25,1
2018-01-26,4
2018-01-27,1
2018-01-28,2
2018-01-29,4
2018-01-30,3
2018-01-31,3
2018-02-01,2
2018-02-02,3
2018-02-03,1
2018-02-04,0
2018-02-05,4
2018-02-06,5
2018-02-07,4
2018-02-08,2
2018-02-09,4
2018-02-10,2
2018-02-11,6
2018-02-12,7
2018-02-13,3
2018-02-14,2
2018-02-15,2
2018-02-16,4
2018-02-17,3
2018-02-18,1
2018-02-19,2
2018-02-20,5
2018-02-21,5
2018-02-22,4
2018-02-23,2
2018-02-24,2
2018-02-25,0
2018-02-26,4
2018-02-27,2
2018-02-28,3
2018-03-01,2
2018-03-02,1
2018-03-03,1
2018-03-04,3
2018-03-05,3
2018-03-06,2
2018-03-07,1
2018-03-08,1
2018-03-09,4
2018-03-10,0
2018-03-11,2
2018-03-12,8
2018-03-13,5
2018-03-14,7
2018-03-15,3
2018-03-16,10
2018-03-17,26
2018-03-18,7
2018-03-19,9
2018-03-20,7
2018-03-21,4
2018-03-22,6
2018-03-23,9
2018-03-24,5
2018-03-25,4
2018-03-26,1
2018-03-27,2
2018-03-28,5
2018-03-29,11
2018-03-30,9
2018-03-31,4
2018-04-01,1
2018-04-02,5
2018-04-03,6
2018-04-04,3
2018-04-05,7
2018-04-06,1
2018-04-07,3
2018-04-08,2
2018-04-09,4
2018-04-10,33
2018-04-11,23
2018-04-12,12
2018-04-13,15
2018-04-14,9
2018-04-15,11
2018-04-16,14
2018-04-17,12
2018-04-18,10
2018-04-19,9
2018-04-20,7
2018-04-21,9
2018-04-22,7
2018-04-23,100
2018-04-24,28
2018-04-25,22
2018-04-26,24
2018-04-27,7
2018-04-28,11
2018-04-29,12
2018-04-30,11
