fecha,amlo,anaya,meade,bronco
2017-02-05,13,1,< 1,< 1
2017-02-12,19,1,1,< 1
2017-02-19,25,3,1,1
2017-02-26,27,3,< 1,1
2017-03-05,16,1,1,< 1
2017-03-12,21,2,1,1
2017-03-19,17,1,< 1,1
2017-03-26,15,1,1,< 1
2017-04-02,17,1,1,1
2017-04-09,21,1,1,< 1
2017-04-16,17,1,1,< 1
2017-04-23,34,1,< 1,1
2017-04-30,29,1,< 1,< 1
2017-05-07,28,1,1,1
2017-05-14,22,1,< 1,< 1
2017-05-21,36,1,1,< 1
2017-05-28,30,1,< 1,1
2017-06-04,36,6,1,< 1
2017-06-11,20,1,< 1,< 1
2017-06-18,13,1,1,< 1
2017-06-25,13,1,2,1
2017-07-02,12,1,2,< 1
2017-07-09,10,1,1,< 1
2017-07-16,11,1,1,< 1
2017-07-23,12,1,1,< 1
2017-07-30,16,1,1,< 1
2017-08-06,14,1,3,< 1
2017-08-13,11,< 1,4,1
2017-08-20,14,4,3,< 1
2017-08-27,15,4,3,< 1
2017-09-03,15,4,2,< 1
2017-09-10,16,1,2,1
2017-09-17,15,1,1,< 1
2017-09-24,14,1,2,1
2017-10-01,13,5,3,1
2017-10-08,14,6,7,1
2017-10-15,14,3,5,1
2017-10-22,16,3,4,1
2017-10-29,17,1,4,1
2017-11-05,16,2,4,1
2017-11-12,15,1,2,1
2017-11-19,23,2,6,< 1
2017-11-26,32,4,100,1
2017-12-03,37,5,25,1
2017-12-10,52,18,16,1
2017-12-17,42,15,29,1
2017-12-24,39,12,20,1
2017-12-31,51,15,20,1
2018-01-07,53,17,21,2
2018-01-14,57,19,21,2
2018-01-21,58,19,23,1
2018-01-28,61,17,25,1
2018-02-04,65,17,24,1
2018-02-11,65,15,16,1
2018-02-18,74,20,17,1
2018-02-25,66,28,17,2
2018-03-04,57,20,14,1
2018-03-11,64,15,13,4
2018-03-18,93,13,14,3
2018-03-25,89,13,16,2
